employer,job_title,place,closing_date,publishing_date,job_description
United Nations Development Programme,Energy and Climate Policy Assistant ,"Rome, Italy",23. March 2023,17.03.2023,"Bachelor degree or equivalent in Development, Communication, knowledge Management and/or Project Management Three years of experience in dealing with climate (mitigation and adaptation) and energy policies, programs and projects in the context of development cooperation with a particular focus on Sub Saharan Africa, solid knowledge of energy and climate international politics including national, regional and continental climate strategy and agendas, familiarity with COP ecosystem and in providing coordination for event participation and organization, drafting of briefing etc, knowledge of the Italian public administration and private sector systems, excellent oral and written skills, excellent drafting, formulation, reporting skills Fluency in English is required "
United Nations Development Programme,Project Manager Islamic Finance ,"Istanbul, Turkey",24. March 2023,17.03.2023,"Master’s degree in finance, Islamic finance, economics, development finance, business, or a related area is required. Master’s degree or PHD in the related area is an asset. Minimum two years of progressively responsible working experience in Islamic finance, project/programme coordination, analysis or closely related area is required, or four years of relevant experience if Bachelor’s degree, proven experience and knowledge in the design and development of educatory and research content for Islamic finance, preferably with a perspective on sustainable development or social finance is a requirement, proven experience in research and analysis of the Islamic finance ecosystem and financial tools as well as their relevance to the sustainable development is a requirement Fluency in English is required "
UNICEF,Communication Associate ,"Budapest, Hungary",22. March 2023,17.03.2023,"Minimum two years of relevant experience in communication related field for candidates holding Bachelor’s or Master’s Degree in Communication, Journalism, International Relations/Development, six years of relevant work experience in communication related field is required for candidates without university degree, experience in electronic publications and graphic design is required, experience as a videographer/photographer, including proficiency in video editing is required, demonstrated ability to build and maintain work relationships is required, experience in communications or external relations desirable, preferably in an international organization or multicultural environment is an asset, experience in research and responding to queries is highly desirable Fluency in English (verbal and written) is required "
UNICEF,Project Officer Vaccine Centre ,"Copenhagen, Denmark",26. March 2023,17.03.2023,"A Completed 1st University Degree (Bachelor’s Degree) in business administration, social sciences, commerce or related technical field required, internationally recognized Training in Project Management is desirable Minimum-two years of professional experience in project management working with various stakeholders at different levels and in multicultural teams, demonstrated experience in developing and delivering training or key presentations to a wide range of audiences is required, experience and insight in immunization systems would be an asset, knowledge of supply, logistics and vaccine procurement would be an asset, demonstrates Self Awareness and Ethical Awareness, works Collaboratively with others Fluency in English is required, proficiency in other UN language is preferred "
UNICEF,Chain Officer (Demand Planning and forecasting) ,"Copenhagen, Denmark",24. March 2023,17.03.2023,"A completed 1st University degree (Bachelor’s Degree) in Business, Economics, Development, Social Sciences, Statistics, Supply Chain or relevant field is required A minimum of two years work experience in public and/or private sector with proficiency in demand planning and forecasting, a good use of data processing and data, business data analysis and intelligence, systems and process analysis, and/or performance monitoring is required, preferably in areas related to the supply chain and preferably with experience working in the field, supports the conceptualization and design of optimized forecasting processes, whether UNICEF exclusive or in collaboration with partners, by actively engaging in meetings, coordinating meeting inputs and outputs, and following up and/or implementing action points Proficiency in English is required "
UNICEF,Social & Behavior Change Specialist ,"Geneva, Switzerland",21. March 2023,17.03.2023,"An advanced university degree (Master’s or higher) in public health, social and behavioral science, or other related social science field is recommended, a first University Degree in a relevant field combined with two additional years of professional experience may be accepted in lieu of an Advanced University Degree A minimum of eight years of professional experience in areas of community engagement, communication for development and/or related areas in public health, of which a minimum of four years of field experiences, relevant experience in related areas in NGOs, IFRC or UN system agency or organization is an asset, experience working in a developing country is considered as an asset, results driven, able to work effectively in a multi-cultural environment and with minimum supervision Proficiency in English is required "
UNICEF,Health and Nutrition Officer ,"Skopje, North Macedonia",22. March 2023,17.03.2023,"University degree in Public Health and Nutrition, Child Development, Water Sanitation, Public Administration, Social Policy, Social Development, Community Development, or other relevant disciplines Two years of professional work experience in planning, programming, implementation monitoring and evaluation of health programmes, professional work experience in a programme management function or a technical expert capacity in child survival & health care, demonstrates self-awareness and ethical awareness, works collaboratively with others, nurtures, leads and manages people, support maintenance of info system for monitoring gender sex aggregated data Fluency in English is required, knowledge of another official UN language (Arabic, Chinese, French, Russian or Spanish) or a local language is an asset "
International Atomic Energy Agency,Equipment Performance Monitoring Engineer ,"Vienna, Austria",11. April 2023,17.03.2023,"Bachelor’s Degree, University degree in Engineering, Statistical Analysis or related field Minimum of five years of working experience in equipment failure analysis and in the development/implementation of equipment performance monitoring, incident and problem management, minimum of three years of experience in preventive maintenance systems, previous demonstrated experience in data analysis and management of database systems, strong interpersonal skills with the ability to work effectively and efficiently in connection with multiple stakeholders simultaneously in multidisciplinary/multicultural teams with respect and sensitivity for diversity Fluency in English is required "
International Atomic Energy Agency,Laboratory Head (Isotope Hydrology) ,"Vienna, Austria",4. April 2023,17.03.2023,"Doctorate Degree Environmental isotope analytical geochemistry or a related field of physical science, minimum of ten years relevant professional experience in analytical isotope hydrology and geochemistry research and development activities, of which at least three years should be at the managerial level, substantive expertise in stable and radioisotope isotopic analytical methods and environmental applications in hydrology, demonstrated management experience in: implementing scientific research and development projects, including planning, implementation, monitoring and management of human and financial resources, supervising and leading co-workers Fluency in English is required "
International Atomic Energy Agency,Programme Management Assistant ,"Vienna, Austria",23. March 2023,17.03.2023,"Completed secondary education Minimum of five years of relevant working experience in a clerical/administrative position, some of which in an international environment, experience in project or personnel administration, administrative skills testing to IAEA standard might be part of the selection process, takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme, evaluates his/her results realistically, drawing conclusions from lessons learned, Communicates orally and in writing in a clear, concise and impartial manner, takes time to listen to and understand the perspectives of others and proposes solutions Excellent oral and written command of English, knowledge of other official IAEA languages is an asset "
