employer,job_title,closing_date,publishing_date,job_description,city,country,region,job_description_upper,job_title_cleaned,job_title_tokenized,job_title_lemmatized,job_description_cleaned,job_description_tokenized,job_description_lemmatized
International Criminal Court,Senior Security Officer ,06.03.2022,25.02.2022,"Diploma of secondary education At least four years of experience in security field, preferably with national police, military, corporate or international organization, excellent communication and negotiation skills, computer literacy, ability to use radio communications equipment, ability to communicate effectively orally and to establish and maintain effective working relations with others in a multi-cultural environment with sensitivity and respect for diversity, excellent client orientation skills and ability to create a positive immediate working environment, ability to deal with uncertain situations especially involving belligerent or non-compliant persons, ability to take decisions related to use of force, ability to manage crowds, ability to work effectively and constructively in teams Fluency in English is required ",The Hague,Netherlands,Europe,0,senior security officer ,"['senior', 'security', 'officer']",senior security officer,diploma of secondary education at least four years of experience in security field  preferably with national police  military  corporate or international organization  excellent communication and negotiation skills  computer literacy  ability to use radio communications equipment  ability to communicate effectively orally and to establish and maintain effective working relations with others in a multi cultural environment with sensitivity and respect for diversity  excellent client orientation skills and ability to create a positive immediate working environment  ability to deal with uncertain situations especially involving belligerent or non compliant persons  ability to take decisions related to use of force  ability to manage crowds  ability to work effectively and constructively in teams fluency in english is required ,"['diploma', 'of', 'secondary', 'education', 'at', 'least', 'four', 'years', 'of', 'experience', 'in', 'security', 'field', 'preferably', 'with', 'national', 'police', 'military', 'corporate', 'or', 'international', 'organization', 'excellent', 'communication', 'and', 'negotiation', 'skills', 'computer', 'literacy', 'ability', 'to', 'use', 'radio', 'communications', 'equipment', 'ability', 'to', 'communicate', 'effectively', 'orally', 'and', 'to', 'establish', 'and', 'maintain', 'effective', 'working', 'relations', 'with', 'others', 'in', 'a', 'multi', 'cultural', 'environment', 'with', 'sensitivity', 'and', 'respect', 'for', 'diversity', 'excellent', 'client', 'orientation', 'skills', 'and', 'ability', 'to', 'create', 'a', 'positive', 'immediate', 'working', 'environment', 'ability', 'to', 'deal', 'with', 'uncertain', 'situations', 'especially', 'involving', 'belligerent', 'or', 'non', 'compliant', 'persons', 'ability', 'to', 'take', 'decisions', 'related', 'to', 'use', 'of', 'force', 'ability', 'to', 'manage', 'crowds', 'ability', 'to', 'work', 'effectively', 'and', 'constructively', 'in', 'teams', 'fluency', 'in', 'english', 'is', 'required']",diploma secondary education least four year security field preferably national police military corporate international organization excellent communication negotiation skill computer literacy use radio communication equipment communicate effectively orally establish maintain effective working relation others multi cultural environment sensitivity respect diversity excellent client orientation skill create positive immediate working environment deal uncertain situation especially involving belligerent non compliant person take decision use force manage crowd effectively constructively team fluency english
United Nations Development Programme,Finance Associate ,03.05.2023,20.04.2023,"Secondary Education with specialized certification in Accounting and Finance, University Degree in Finance, Business or Public Administration is desirable, but it is not a requirement Part-qualified accountants from an internationally recognized institute of accountancy will have a distinct advantage, candidates with no accountancy qualification but with relevant experience, must successfully undertake the Accountancy and Finance Test (AFT) before eligible, seven years of relevant finance experience at the national or international level, experience in the usage of computers and office software packages (MS Word, Excel, etc.) and knowledge of spreadsheet and database packages, experience in handling of web-based management systems, experience with ERP financials is desirable, knowledge of International Public Sector Accounting Standards (IPSAS) and/or International Financial Reporting Standards (IFRS) is required, strong presentation skills Fluency in English is required ",Bonn,Germany,Europe,5,finance associate ,"['finance', 'associate']",finance associate,secondary education with specialized certification in accounting and finance  university degree in finance  business or public administration is desirable  but it is not a requirement part qualified accountants from an internationally recognized institute of accountancy will have a distinct advantage  candidates with no accountancy qualification but with relevant experience  must successfully undertake the accountancy and finance test  aft  before eligible  seven years of relevant finance experience at the national or international level  experience in the usage of computers and office software packages  ms word  excel  etc   and knowledge of spreadsheet and database packages  experience in handling of web based management systems  experience with erp financials is desirable  knowledge of international public sector accounting standards  ipsas  and or international financial reporting standards  ifrs  is required  strong presentation skills fluency in english is required ,"['secondary', 'education', 'with', 'specialized', 'certification', 'in', 'accounting', 'and', 'finance', 'university', 'degree', 'in', 'finance', 'business', 'or', 'public', 'administration', 'is', 'desirable', 'but', 'it', 'is', 'not', 'a', 'requirement', 'part', 'qualified', 'accountants', 'from', 'an', 'internationally', 'recognized', 'institute', 'of', 'accountancy', 'will', 'have', 'a', 'distinct', 'advantage', 'candidates', 'with', 'no', 'accountancy', 'qualification', 'but', 'with', 'relevant', 'experience', 'must', 'successfully', 'undertake', 'the', 'accountancy', 'and', 'finance', 'test', 'aft', 'before', 'eligible', 'seven', 'years', 'of', 'relevant', 'finance', 'experience', 'at', 'the', 'national', 'or', 'international', 'level', 'experience', 'in', 'the', 'usage', 'of', 'computers', 'and', 'office', 'software', 'packages', 'ms', 'word', 'excel', 'etc', 'and', 'knowledge', 'of', 'spreadsheet', 'and', 'database', 'packages', 'experience', 'in', 'handling', 'of', 'web', 'based', 'management', 'systems', 'experience', 'with', 'erp', 'financials', 'is', 'desirable', 'knowledge', 'of', 'international', 'public', 'sector', 'accounting', 'standards', 'ipsas', 'and', 'or', 'international', 'financial', 'reporting', 'standards', 'ifrs', 'is', 'required', 'strong', 'presentation', 'skills', 'fluency', 'in', 'english', 'is', 'required']",secondary education specialized certification accounting finance university degree finance business public administration desirable not requirement part qualified accountant internationally recognized institute accountancy distinct advantage candidate accountancy must successfully undertake accountancy finance test aft eligible seven year finance national international level usage computer office software package m word excel etc spreadsheet database package handling web based management system erp financials desirable international public sector accounting standard ipsas international financial reporting standard ifrs strong presentation skill fluency english
World Health Organization,National Professional Officer (Epidemiologist) ,26.12.2022,17.12.2022,"One year experience in applied epidemiology or public health surveillance with a track record in engaging with stakeholders, experience in the areas ofoutbreak investigation and response particularly in developing countries, training on epidemiological surveillance and response or on outbreakinvestigation, very good knowledge, competency,and professional skills on the public health aspects of infectious diseasecontrol, epidemic and pandemic preparedness and response with particularattention to the use of applied epidemiology and principles of public health inthe control of epidemic diseases and outbreak prevention Expert knowledge of English and Arabic ",Cairo,Egypt,Africa,0,national professional officer  epidemiologist  ,"['national', 'professional', 'officer', 'epidemiologist']",national professional officer epidemiologist,one year experience in applied epidemiology or public health surveillance with a track record in engaging with stakeholders  experience in the areas ofoutbreak investigation and response particularly in developing countries  training on epidemiological surveillance and response or on outbreakinvestigation  very good knowledge  competency and professional skills on the public health aspects of infectious diseasecontrol  epidemic and pandemic preparedness and response with particularattention to the use of applied epidemiology and principles of public health inthe control of epidemic diseases and outbreak prevention expert knowledge of english and arabic ,"['one', 'year', 'experience', 'in', 'applied', 'epidemiology', 'or', 'public', 'health', 'surveillance', 'with', 'a', 'track', 'record', 'in', 'engaging', 'with', 'stakeholders', 'experience', 'in', 'the', 'areas', 'ofoutbreak', 'investigation', 'and', 'response', 'particularly', 'in', 'developing', 'countries', 'training', 'on', 'epidemiological', 'surveillance', 'and', 'response', 'or', 'on', 'outbreakinvestigation', 'very', 'good', 'knowledge', 'competency', 'and', 'professional', 'skills', 'on', 'the', 'public', 'health', 'aspects', 'of', 'infectious', 'diseasecontrol', 'epidemic', 'and', 'pandemic', 'preparedness', 'and', 'response', 'with', 'particularattention', 'to', 'the', 'use', 'of', 'applied', 'epidemiology', 'and', 'principles', 'of', 'public', 'health', 'inthe', 'control', 'of', 'epidemic', 'diseases', 'and', 'outbreak', 'prevention', 'expert', 'knowledge', 'of', 'english', 'and', 'arabic']",one year applied epidemiology public health surveillance track record engaging stakeholder area ofoutbreak investigation response particularly developing country training epidemiological surveillance response outbreakinvestigation good competency professional skill public health aspect infectious diseasecontrol epidemic pandemic preparedness response particularattention use applied epidemiology principle public health inthe control epidemic disease outbreak prevention expert english arabic
UNICEF,Programme Associate (Emergency Section) ,28.02.2023,21.02.2023,"A secondary education preferably supplemented by technical, or university courses related to the work of the organization is required A minimum of six years of administrative or clerical work experience is required, prior experience in programme support functions is an asset, relevant experience in a UN system agency or organization is considered as an asset, knowledge of the administration which underpins UNICEF regional office programme/project operations, including monitoring and evaluation processes, high sense of confidentiality, initiative and good judgment, strong office management skills, ability to effectively manage the section’s material resources and monitor its budget Fluency in English and French is required, knowledge of another official UN language or a local language is an asset ",Dakar,Senegal,Africa,5,programme associate  emergency section  ,"['programme', 'associate', 'emergency', 'section']",programme associate emergency section,a secondary education preferably supplemented by technical  or university courses related to the work of the organization is required a minimum of six years of administrative or clerical work experience is required  prior experience in programme support functions is an asset  relevant experience in a un system agency or organization is considered as an asset  knowledge of the administration which underpins unicef regional office programme project operations  including monitoring and evaluation processes  high sense of confidentiality  initiative and good judgment  strong office management skills  ability to effectively manage the section s material resources and monitor its budget fluency in english and french is required  knowledge of another official un language or a local language is an asset ,"['a', 'secondary', 'education', 'preferably', 'supplemented', 'by', 'technical', 'or', 'university', 'courses', 'related', 'to', 'the', 'work', 'of', 'the', 'organization', 'is', 'required', 'a', 'minimum', 'of', 'six', 'years', 'of', 'administrative', 'or', 'clerical', 'work', 'experience', 'is', 'required', 'prior', 'experience', 'in', 'programme', 'support', 'functions', 'is', 'an', 'asset', 'relevant', 'experience', 'in', 'a', 'un', 'system', 'agency', 'or', 'organization', 'is', 'considered', 'as', 'an', 'asset', 'knowledge', 'of', 'the', 'administration', 'which', 'underpins', 'unicef', 'regional', 'office', 'programme', 'project', 'operations', 'including', 'monitoring', 'and', 'evaluation', 'processes', 'high', 'sense', 'of', 'confidentiality', 'initiative', 'and', 'good', 'judgment', 'strong', 'office', 'management', 'skills', 'ability', 'to', 'effectively', 'manage', 'the', 'section', 's', 'material', 'resources', 'and', 'monitor', 'its', 'budget', 'fluency', 'in', 'english', 'and', 'french', 'is', 'required', 'knowledge', 'of', 'another', 'official', 'un', 'language', 'or', 'a', 'local', 'language', 'is', 'an', 'asset']",secondary education preferably supplemented technical university course organization minimum six year administrative clerical prior programme support function asset un system agency organization considered asset administration underpins unicef regional office programme project operation including monitoring evaluation process high sense confidentiality initiative good judgment strong office management skill effectively manage section material resource monitor budget fluency english french another official un language local language asset
United Nations World Food Programme,Graphic / Social Media Designer ,05.09.2022,26.08.2022,"Bachelor’s degree in communication, media, journalism, public relations, communication design, graphic design, etc. revelant departments of universities and two to five years of relevant work experience Ability to generate design collaterals with quick turnaround time, excellent knowledge of Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premier, Final Cut and/or other tools used for graphic design, good skills in video editing, basic knowledge of motion graphic design is a plus, Basic understanding of current affairs and interest in development challenges, experience in writing blogs, features, articles would be an asset, keen attention to detail, is willing to learn from others, places team agenda before personal agenda Fluency (level C) in English and Turkish language is required ",Ankara,Turkey,Asia,1,graphic   social media designer ,"['graphic', 'social', 'media', 'designer']",graphic social medium designer,bachelor s degree in communication  media  journalism  public relations  communication design  graphic design  etc  revelant departments of universities and two to five years of relevant work experience ability to generate design collaterals with quick turnaround time  excellent knowledge of adobe photoshop  adobe illustrator  adobe indesign  adobe premier  final cut and or other tools used for graphic design  good skills in video editing  basic knowledge of motion graphic design is a plus  basic understanding of current affairs and interest in development challenges  experience in writing blogs  features  articles would be an asset  keen attention to detail  is willing to learn from others  places team agenda before personal agenda fluency  level c  in english and turkish language is required ,"['bachelor', 's', 'degree', 'in', 'communication', 'media', 'journalism', 'public', 'relations', 'communication', 'design', 'graphic', 'design', 'etc', 'revelant', 'departments', 'of', 'universities', 'and', 'two', 'to', 'five', 'years', 'of', 'relevant', 'work', 'experience', 'ability', 'to', 'generate', 'design', 'collaterals', 'with', 'quick', 'turnaround', 'time', 'excellent', 'knowledge', 'of', 'adobe', 'photoshop', 'adobe', 'illustrator', 'adobe', 'indesign', 'adobe', 'premier', 'final', 'cut', 'and', 'or', 'other', 'tools', 'used', 'for', 'graphic', 'design', 'good', 'skills', 'in', 'video', 'editing', 'basic', 'knowledge', 'of', 'motion', 'graphic', 'design', 'is', 'a', 'plus', 'basic', 'understanding', 'of', 'current', 'affairs', 'and', 'interest', 'in', 'development', 'challenges', 'experience', 'in', 'writing', 'blogs', 'features', 'articles', 'would', 'be', 'an', 'asset', 'keen', 'attention', 'to', 'detail', 'is', 'willing', 'to', 'learn', 'from', 'others', 'places', 'team', 'agenda', 'before', 'personal', 'agenda', 'fluency', 'level', 'c', 'in', 'english', 'and', 'turkish', 'language', 'is', 'required']",bachelor degree communication medium journalism public relation communication design graphic design etc revelant department university two five year generate design collateral quick turnaround time excellent adobe photoshop adobe illustrator adobe indesign adobe premier final cut tool used graphic design good skill video editing basic motion graphic design plus basic understanding current affair interest development challenge writing blog feature article would asset keen attention detail willing learn others place team agenda personal agenda fluency level c english turkish language
United Nations Development Programme,Programme Associate ,20.03.2023,03.09.2023,"Secondary Education, preferably with specialized certification in Accounting and Finance, University Degree (Bachelor’s) in Business or Public Administration, Economics, Political Sciences and Social Sciences would be desirable, but it is not a requirement A minimum Six years of progressively responsible administrative or programme experience is required at the national or international level with secondary education and/or for a University Degree at the Bachelor’s level, a minimum of three years of work experience, experience in the usage of computers and office software packages (MS Word, Excel, etc.) and advance knowledge of spreadsheet and database packages, experience in handling of web based management systems, the experience in management of development projects, in public policies will be valued in the United Nations System, ability to research and turn information into useful knowledge, relevant for context, or responsive to a stated need Fluency in English and Spanish ",Buenos Aires,Argentina,Latin America and the Caribbean,2,programme associate ,"['programme', 'associate']",programme associate,secondary education  preferably with specialized certification in accounting and finance  university degree  bachelor s  in business or public administration  economics  political sciences and social sciences would be desirable  but it is not a requirement a minimum six years of progressively responsible administrative or programme experience is required at the national or international level with secondary education and or for a university degree at the bachelor s level  a minimum of three years of work experience  experience in the usage of computers and office software packages  ms word  excel  etc   and advance knowledge of spreadsheet and database packages  experience in handling of web based management systems  the experience in management of development projects  in public policies will be valued in the united nations system  ability to research and turn information into useful knowledge  relevant for context  or responsive to a stated need fluency in english and spanish ,"['secondary', 'education', 'preferably', 'with', 'specialized', 'certification', 'in', 'accounting', 'and', 'finance', 'university', 'degree', 'bachelor', 's', 'in', 'business', 'or', 'public', 'administration', 'economics', 'political', 'sciences', 'and', 'social', 'sciences', 'would', 'be', 'desirable', 'but', 'it', 'is', 'not', 'a', 'requirement', 'a', 'minimum', 'six', 'years', 'of', 'progressively', 'responsible', 'administrative', 'or', 'programme', 'experience', 'is', 'required', 'at', 'the', 'national', 'or', 'international', 'level', 'with', 'secondary', 'education', 'and', 'or', 'for', 'a', 'university', 'degree', 'at', 'the', 'bachelor', 's', 'level', 'a', 'minimum', 'of', 'three', 'years', 'of', 'work', 'experience', 'experience', 'in', 'the', 'usage', 'of', 'computers', 'and', 'office', 'software', 'packages', 'ms', 'word', 'excel', 'etc', 'and', 'advance', 'knowledge', 'of', 'spreadsheet', 'and', 'database', 'packages', 'experience', 'in', 'handling', 'of', 'web', 'based', 'management', 'systems', 'the', 'experience', 'in', 'management', 'of', 'development', 'projects', 'in', 'public', 'policies', 'will', 'be', 'valued', 'in', 'the', 'united', 'nations', 'system', 'ability', 'to', 'research', 'and', 'turn', 'information', 'into', 'useful', 'knowledge', 'relevant', 'for', 'context', 'or', 'responsive', 'to', 'a', 'stated', 'need', 'fluency', 'in', 'english', 'and', 'spanish']",secondary education preferably specialized certification accounting finance university degree bachelor business public administration economics political science social science would desirable not requirement minimum six year progressively responsible administrative programme national international level secondary education university degree bachelor level minimum three year usage computer office software package m word excel etc advance spreadsheet database package handling web based management system management development project public policy valued united nation system research turn information useful context responsive stated need fluency english spanish
International Atomic Energy Agency,Water and Energy Policy Adviser ,25.05.2023,20.05.2023,"First-level university degree in environmental studies, economics, natural resources management, regional planning and development or related fields, or equivalent professional experience in such areas Work experience in the fields of environmental development and protection, water resources managfement, economics, business development, regional planning and development, experience working with developing or transitional economies, sound knowledge of water sources management and energy policy principles aimed at ensuring sustainable development, experience in environmental development and protection, ability to establish contact and develop confident relations with government officials and institutions, as well as civil society Fluency in English is required ",Dushanbe,Tajikistan,Asia,0,water and energy policy adviser ,"['water', 'and', 'energy', 'policy', 'adviser']",water energy policy adviser,first level university degree in environmental studies  economics  natural resources management  regional planning and development or related fields  or equivalent professional experience in such areas work experience in the fields of environmental development and protection  water resources managfement  economics  business development  regional planning and development  experience working with developing or transitional economies  sound knowledge of water sources management and energy policy principles aimed at ensuring sustainable development  experience in environmental development and protection  ability to establish contact and develop confident relations with government officials and institutions  as well as civil society fluency in english is required ,"['first', 'level', 'university', 'degree', 'in', 'environmental', 'studies', 'economics', 'natural', 'resources', 'management', 'regional', 'planning', 'and', 'development', 'or', 'related', 'fields', 'or', 'equivalent', 'professional', 'experience', 'in', 'such', 'areas', 'work', 'experience', 'in', 'the', 'fields', 'of', 'environmental', 'development', 'and', 'protection', 'water', 'resources', 'managfement', 'economics', 'business', 'development', 'regional', 'planning', 'and', 'development', 'experience', 'working', 'with', 'developing', 'or', 'transitional', 'economies', 'sound', 'knowledge', 'of', 'water', 'sources', 'management', 'and', 'energy', 'policy', 'principles', 'aimed', 'at', 'ensuring', 'sustainable', 'development', 'experience', 'in', 'environmental', 'development', 'and', 'protection', 'ability', 'to', 'establish', 'contact', 'and', 'develop', 'confident', 'relations', 'with', 'government', 'officials', 'and', 'institutions', 'as', 'well', 'as', 'civil', 'society', 'fluency', 'in', 'english', 'is', 'required']",first level university degree environmental study economics natural resource management regional planning development field equivalent professional area field environmental development protection water resource managfement economics business development regional planning development working developing transitional economy sound water source management energy policy principle aimed ensuring sustainable development environmental development protection establish contact develop confident relation government official institution well civil society fluency english
United Nations Development Programme,Administrative Associate ,17.05.2023,05.05.2023,"Secondary School, Certification in administration is desirable, Bachelor’s degree in Business or Public Administration will be considered as an advantage Minimum six years (with secondary education) or three years (with BA) of relevant administrative or project support experience is required at the national or international level, experience in travel organisation, experience in the usage of computers and office software packages (MS Word, Excel, etc.), experience in handling of web based management systems, demonstrating/safeguarding ethics and integrity, understands the main processes and methods of work regarding the position, ability to report to internal and external clients in a timely and appropriate fashion, ability to quickly shift from one task to another to meet multiple support needs Working knowledge of English is required ",Sarajevo,Bosnia and Herzegovina,Europe,2,administrative associate ,"['administrative', 'associate']",administrative associate,secondary school  certification in administration is desirable  bachelor s degree in business or public administration will be considered as an advantage minimum six years  with secondary education  or three years  with ba  of relevant administrative or project support experience is required at the national or international level  experience in travel organisation  experience in the usage of computers and office software packages  ms word  excel  etc    experience in handling of web based management systems  demonstrating safeguarding ethics and integrity  understands the main processes and methods of work regarding the position  ability to report to internal and external clients in a timely and appropriate fashion  ability to quickly shift from one task to another to meet multiple support needs working knowledge of english is required ,"['secondary', 'school', 'certification', 'in', 'administration', 'is', 'desirable', 'bachelor', 's', 'degree', 'in', 'business', 'or', 'public', 'administration', 'will', 'be', 'considered', 'as', 'an', 'advantage', 'minimum', 'six', 'years', 'with', 'secondary', 'education', 'or', 'three', 'years', 'with', 'ba', 'of', 'relevant', 'administrative', 'or', 'project', 'support', 'experience', 'is', 'required', 'at', 'the', 'national', 'or', 'international', 'level', 'experience', 'in', 'travel', 'organisation', 'experience', 'in', 'the', 'usage', 'of', 'computers', 'and', 'office', 'software', 'packages', 'ms', 'word', 'excel', 'etc', 'experience', 'in', 'handling', 'of', 'web', 'based', 'management', 'systems', 'demonstrating', 'safeguarding', 'ethics', 'and', 'integrity', 'understands', 'the', 'main', 'processes', 'and', 'methods', 'of', 'work', 'regarding', 'the', 'position', 'ability', 'to', 'report', 'to', 'internal', 'and', 'external', 'clients', 'in', 'a', 'timely', 'and', 'appropriate', 'fashion', 'ability', 'to', 'quickly', 'shift', 'from', 'one', 'task', 'to', 'another', 'to', 'meet', 'multiple', 'support', 'needs', 'working', 'knowledge', 'of', 'english', 'is', 'required']",secondary school certification administration desirable bachelor degree business public administration considered advantage minimum six year secondary education three year ba administrative project support national international level travel organisation usage computer office software package m word excel etc handling web based management system demonstrating safeguarding ethic integrity understands main process method regarding report internal external client timely appropriate fashion quickly shift one task another meet multiple support need working english
World Health Organization,Monitoring and Evaluation Officer ,15.03.2023,03.03.2023,"Bachelor’s degree in social sciences and a master’s degree in public health or a related focus area from an accredited/recognized institution, Master’s level in public health, epidemiology or a related focus area At least five years‘ of relevant experience at the national or international level, in implementation of public health monitoring and evaluation, health informatics, or health policy and surveillance, specific experience on M&E, strong analytical skills and ability to review and synthesize information from multiple sources, demonstrated writing and editing skills, with an ability to communicate effectively, strong interpersonal skills, able to work across cultures and with the capacity to build strong working relationships, knowledge of relevant software applications Fluency in English is required ",Baku,Azerbaijan,Asia,1,monitoring and evaluation officer ,"['monitoring', 'and', 'evaluation', 'officer']",monitoring evaluation officer,bachelor s degree in social sciences and a master s degree in public health or a related focus area from an accredited recognized institution  master s level in public health  epidemiology or a related focus area at least five years  of relevant experience at the national or international level  in implementation of public health monitoring and evaluation  health informatics  or health policy and surveillance  specific experience on m e  strong analytical skills and ability to review and synthesize information from multiple sources  demonstrated writing and editing skills  with an ability to communicate effectively  strong interpersonal skills  able to work across cultures and with the capacity to build strong working relationships  knowledge of relevant software applications fluency in english is required ,"['bachelor', 's', 'degree', 'in', 'social', 'sciences', 'and', 'a', 'master', 's', 'degree', 'in', 'public', 'health', 'or', 'a', 'related', 'focus', 'area', 'from', 'an', 'accredited', 'recognized', 'institution', 'master', 's', 'level', 'in', 'public', 'health', 'epidemiology', 'or', 'a', 'related', 'focus', 'area', 'at', 'least', 'five', 'years', 'of', 'relevant', 'experience', 'at', 'the', 'national', 'or', 'international', 'level', 'in', 'implementation', 'of', 'public', 'health', 'monitoring', 'and', 'evaluation', 'health', 'informatics', 'or', 'health', 'policy', 'and', 'surveillance', 'specific', 'experience', 'on', 'm', 'e', 'strong', 'analytical', 'skills', 'and', 'ability', 'to', 'review', 'and', 'synthesize', 'information', 'from', 'multiple', 'sources', 'demonstrated', 'writing', 'and', 'editing', 'skills', 'with', 'an', 'ability', 'to', 'communicate', 'effectively', 'strong', 'interpersonal', 'skills', 'able', 'to', 'work', 'across', 'cultures', 'and', 'with', 'the', 'capacity', 'to', 'build', 'strong', 'working', 'relationships', 'knowledge', 'of', 'relevant', 'software', 'applications', 'fluency', 'in', 'english', 'is', 'required']",bachelor degree social science master degree public health focus area accredited recognized institution master level public health epidemiology focus area least five year national international level implementation public health monitoring evaluation health informatics health policy surveillance specific e strong analytical skill review synthesize information multiple source demonstrated writing editing skill communicate effectively strong interpersonal skill able across culture capacity build strong working relationship software application fluency english
United Nations Development Programme,Communications Associate ,23.02.2023,02.09.2023,"Minimum seven years (with Secondary education) or four years (with Bachelor’s degree) of relevant experience in communications, public relations and administration, experience in the usage of computers and office software packages (MS Word, Excel, etc.), experience in handling of web-based management systems, experience in social media management (Twitter, Facebook, Instagram, IMO, etc.), experience in organizing the social media campaigns or similar, basic knowledge in graphic design, basic knowledge of the Adobe software packages, including Adobe in Design, Adobe Premier, Adobe Illus­trator (CorelDraw), Adobe Photoshop, etc. will be an asset Fluency in English and Serbian is required ",Belgrade,Serbia,Europe,2,communications associate ,"['communications', 'associate']",communication associate,minimum seven years  with secondary education  or four years  with bachelor s degree  of relevant experience in communications  public relations and administration  experience in the usage of computers and office software packages  ms word  excel  etc    experience in handling of web based management systems  experience in social media management  twitter  facebook  instagram  imo  etc    experience in organizing the social media campaigns or similar  basic knowledge in graphic design  basic knowledge of the adobe software packages  including adobe in design  adobe premier  adobe illus trator  coreldraw   adobe photoshop  etc  will be an asset fluency in english and serbian is required ,"['minimum', 'seven', 'years', 'with', 'secondary', 'education', 'or', 'four', 'years', 'with', 'bachelor', 's', 'degree', 'of', 'relevant', 'experience', 'in', 'communications', 'public', 'relations', 'and', 'administration', 'experience', 'in', 'the', 'usage', 'of', 'computers', 'and', 'office', 'software', 'packages', 'ms', 'word', 'excel', 'etc', 'experience', 'in', 'handling', 'of', 'web', 'based', 'management', 'systems', 'experience', 'in', 'social', 'media', 'management', 'twitter', 'facebook', 'instagram', 'imo', 'etc', 'experience', 'in', 'organizing', 'the', 'social', 'media', 'campaigns', 'or', 'similar', 'basic', 'knowledge', 'in', 'graphic', 'design', 'basic', 'knowledge', 'of', 'the', 'adobe', 'software', 'packages', 'including', 'adobe', 'in', 'design', 'adobe', 'premier', 'adobe', 'illus', 'trator', 'coreldraw', 'adobe', 'photoshop', 'etc', 'will', 'be', 'an', 'asset', 'fluency', 'in', 'english', 'and', 'serbian', 'is', 'required']",minimum seven year secondary education four year bachelor degree communication public relation administration usage computer office software package m word excel etc handling web based management system social medium management twitter facebook instagram imo etc organizing social medium campaign similar basic graphic design basic adobe software package including adobe design adobe premier adobe illus trator coreldraw adobe photoshop etc asset fluency english serbian
