employer,job_title,place,closing_date,publishing_date,job_description
International Atomic Energy Agency,Laboratory Technician (Phytosanitary ,"Seibersdorf, Austria",13. March 2023,15.02.2023,"Completed secondary education, High School Diploma Minimum of three years of work experience in a laboratory environment, preferably in an international setting, working with the rearing of insects and various post-harvest treatments an asset, good knowledge of basic laboratory procedures and practices, plans and organizes his/her own work in support of achieving the team or Section’s priorities. Takes into account potential changes and proposes contingency plans, communicates orally and in writing in a clear, concise and impartial manner, takes time to listen to and understand the perspectives of others and proposes solutions English language test to IAEA standard, excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,Implementation Assistant ,"Vienna, Austria",13. March 2023,15.02.2023,"High School Diploma Minimum of five years of relevant work experience in a clerical/administrative position, some of it in an international organization, good command of written and spoken English, knowledge of another official IAEA language (Arabic, Chinese, French, Russian, Spanish) an asset, knowledge of the administrative procedures and policies relating to IAEA meetings, highly desirable, high degree of accuracy and ability to pay attention to detail, knowledge of and experience in using the IAEA’s corporate system (AIPS, iProc, AIPS contacts online etc.) an asset Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, English, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,IT Support Technician ,"Vienna, Austria",13. March 2023,15.02.2023,"Completed secondary school, post-secondary training/diploma in computer sciences is desirable Minimum of five years of relevant working experience providing IT support to ERP (Oracle) users as well as IT support to end users in the LAN environment, hands-on experience and familiarity with end user device software and hardware, technical knowledge and troubleshooting skills of Windows 10, O365, and Office 2016 as well as other related software is desirable, strong IT Service Desk related experience with ability to deal with established deadlines and priorities, knowledge and experience in emerging technologies such as cloud computing, mobile device management is an advantage Fluency in English is required "
International Atomic Energy Agency,Shift Supervisor (Cosmetics and Perfumery) ,"Vienna, Austria",8. March 2023,15.02.2023,"Formal training in cosmetics/fashion areas with an apprenticeship as a Sales Assistant in the retail industry being the minimum requirement, at least five years of relevant experience in the field of retail sales, at least three of them in the floor operation of a cosmetics/fashion store, clerical/administrative experience, administrative skill testing to IAEA standard might be part of the selection process, takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme. Evaluates his/her results realistically, drawing conclusions from lessons learned Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,Talent Pipeline for Human Resources Specialist ,"Vienna, Austria",28. February 2023,15.02.2023,"A first level degree in a related field At least three years of relevant job classification experience using the New ICSC Master Standards (SPECTRA), knowledge of the UN system and assignment of occupational groups (CCOGs), excellent project management and negotiation skills with a demonstrable ability to provide exceptional client service in a multicultural context, excellent collaboration skills with effective relationship-building and analytical skills, demonstrated ability to deal with complex issues with diplomacy and tact, on-demand review and evaluate job descriptions to determine the correct position level following the International Civil Service Commission (ICSC) methodology and standards for job classification Fluency in English is required "
United Nations Development Programme,Humanitarian Coordinator ,"Mogadishu, Somalia",27. February 2023,14.02.2023,"Seven years of progressively responsible professional work experience with a minimum of two years of experience in humanitarian and relief operations is required, experience in programme coordination and GBV programming, experience in GBV/RH in the context of emergency response is essential, knowledge and understanding of UN humanitarian relief operations and procedures is essential, including humanitarian reform process and roles/responsibilities of humanitarian actors, strong analytical, coordination and organizational skills, leveraging the resources of national governments and partners/ building strategic alliances and partnerships, delivering results-based programmes Fluency in English both written and oral is essential "
United Nations Development Programme,International Consultant Cultural Statistics Expert ,"Riyadh, Saudi Arabia",27. February 2023,14.02.2023,"Master’s degree in language culture, social studies, economics, statistics, or any other relevant fields, Certification of Training courses/workshops related to the field of Foreign Direct investment statistics like (Certificate in Government and Public Politics) Min. years of relevant Work experience, at least seven years of relevant professional experience in cultural statistics, ability to provide statistical technical advice on different sectors/theme, ability to work on any of the statistical packages to analyse data, good understanding and practice of capacity development, culture Statistics industry experience with a good understanding of the structure of Saudi Arabia economy and can draw international best practices and policy recommendations to apply into the local context The required and primary language is English "
United Nations Development Programme,Information Management Assistant ,"Beijing, China",24. February 2023,14.02.2023,"Bachelor degree or equivalent in social sciences, journalism, development studies, international relations, agricultural and rural development, social protection or other subjects related to poverty and poverty reduction Three years of experience in research, exchange or training programs on related subjects and familiarity with domestic and international poverty and their policies are preferred, research experiences in one or more aspects of the core subject matter (poverty reduction, social development, rural development), good familiarity with social development and experience working in poverty reduction, experience in planning and implementing development projects, forums, seminars and workshops, good coordination and organizational skills Working knowledge, Required English, level: working knowledge, required "
United Nations Development Programme,Field Security Assistant ,"Asosa, Ethiopia",25. February 2023,14.02.2023,"A minimum of two years‘ experience in security, preferably in the military or police context or related field of work, prior experience with the UN system or an international NGO, is desirable, knowledge of HF and VHF radio operation, experience in diplomatic security, protection and intelligence considered an asset, solid computers skills (MS Word, Excel, Access and PowerPoint), possession of a valid driver’s license, ability to travel, physically fit, ability to develop solutions to problems by involving the human perspective in all steps of the problem-solving process, ability to identify and organize action around mitigating and proactively, managing risks, assists with data acquisition and manipulation for graphic report presentations Fluency in English with effective written and oral communication skills required "
United Nations Development Programme,Field Specialist ,"Sarajevo, Bosnia and Herzegovina",23. February 2023,14.02.2023,"University degree in social work, psychology, human rights law, humanitarian and development work, or other relevant field related to work with children, gender, humanitarian and development issues, and GBV prevention and response, MA Degree would be considered an asset At least five years of previous experience in work in humanitarian setting, including coordination activities and supervision, at least two years of experience in direct work with vulnerable categories; working with unaccompanied children and refugee children would be considered as an asset, previous work with GBV survivors would be considered as asset, experience working on similar positions with international organizations/projects will be considered an advantage Fluency in English and BHS languages required "
United Nations Development Programme,Evaluation Analyst ,"New York, United States",21. February 2023,14.02.2023,"Master’s Degree or equivalent in Social Science, Public Policy, International Relations, Economics, Political Science, or other fields closely relating to UNDP’s programming and operations A minimum of two years of experience in both the conduct and management of evaluation, knowledge of current international development issues, experience in the development of and working with evaluation methodologies, approaches, designs and capacity building, strong data analysis and data communication skills, experience in the use of computers and office software packages, experience in handling web-based management systems Working language is English, ability to write and communicate clearly is required, Fluency in other official UN languages (e.g., French and Spanish) is advantageous "
United Nations Development Programme,Humanitarian Peace Development Nexus Academy Manager ,"New York, United States",24. February 2023,14.02.2023,"At least seven years of experience in multi-stakeholder coordination, analysis, planning and programming and positions of increasing responsibility in developing recovery and peacebuilding plans or strategies, humanitarian coordination including in fragile or crisis contexts, strong knowledge of the UN’s institutional architecture, policies and operations related to humanitarian, development and/or crisis settings, demonstrated experience to provide effective and coherent responses in humanitarian, development and/or crisis settings Fluency in English and BHS languages required "
United Nations Development Programme,Youth Community Engagement Officer (Movers) ,"Manila, Philippines",23. February 2023,14.02.2023,"Bachelor degree or equivalent in community development, development studies, business management, marketing, international relations or any related field Four years of experience in stakeholder management between entities/organizations, previous experience on community engagement particularly among young people, previous engagement with youth-related work is an asset, experience of volunteering/working/interning in youth-focused CSO/s or youth empowerment projects, previous assignment in a similar position would be desirable, excellent interpersonal skills, culturally and socially sensitive, ability to work inclusively and collaboratively with a range of partners, including grassroots community members, religious and youth organizations, and authorities at different levels Fluency in English and Filipino is required "
International Atomic Energy Agency,Safeguards Training Officer ,"Vienna, Austria",10. March 2023,14.02.2023,"At least seven years of combined research, industrial and nuclear safeguards experience, including experience in implementing training courses, experience in training design is an asset, excellent customer orientation, including the ability to develop and nurture effective working relationships with counterparts Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,Section Head (Soil & Water Management and Crop Nutrition) ,"Vienna, Austria",10. March 2023,14.02.2023,"Minimum of ten years working experience in research and development on soil-plant-water interactions that influence soil quality, land productivity and water use efficiency for sustainable agricultural production systems at both national and international settings, experience in leading functional teams, and management and administration of human and financial resources, programme planning and budgeting, especially in high quality R&D activities related to soil science and related disciplines using nuclear techniques as one of the research tools Excellent oral and written command of English "
International Atomic Energy Agency,Laboratory Information Systems Specialist ,"Seibersdorf, Austria",10. March 2023,14.02.2023,"Bachelor’s Degree, a first level university degree in Information Technology or related discipline is required Minimum of five years of relevant practical experience in software development and maintenance, of which at least three years practical experience in developing client-server desktop and web-based applications in a Microsoft environment, experience in the development of software solutions in a laboratory context is an asset, plans and organizes his/her own work in support of achieving the team or Section’s priorities, takes into account potential changes and proposes contingency plans, communicates orally and in writing in a clear, concise and impartial manner, takes time to listen to and understand the perspectives of others and proposes solutions Excellent oral and written command of English "
International Atomic Energy Agency,Training Assistant (Safeguards) ,"Vienna, Austria",10. March 2023,14.02.2023,"Completed secondary education Minimum of five years of clerical/administrative working experience in an international environment, with extensive experience in planning and organizing various types of meetings or training activities, preparedness to travel and to work at irregular hours, if required for the implementation of training, knowledge of German desirable, Administrative skills test to IAEA standard, takes initiative in defining realistic outputs and clarifying roles, responsibilities and expected results in the context of the Department/Division’s programme, evaluates his/her results realistically, drawing conclusions from lessons learned Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
International Atomic Energy Agency,Unit Head (Procurement and Invoice Control) ,"Vienna, Austria",6. March 2023,14.02.2023,"A first level university degree (Bachelor’s Degree or equivalent) in finance, accounting, commerce, procurement, marketing, business management or a related field Minimum of five years of experience in finance and accounting, procurement, preferably in an international retail/wholesale environment, experience in performing high level merchandising and procurement activities and related duties required, experience in drafting various policy and procedure documents, experience in a supervisory role, in-depth familiarity with the consumer goods market as well as the ability to assess market trends and to make projections for future development within the consumer goods market Excellent oral and written command of English, knowledge of other official IAEA languages (Arabic, Chinese, French, Russian and Spanish) is an asset "
Food and Agriculture Organization of the,,"Maseru, Lesotho",24. February 2023,14.02.2023,"Assistant Secondary school education Four years of administrative, accounting and office management experience, very good knowledge of the MS Office applications, Internet and office technology equipment, maintain financial records and monitoring systems for the office, maintain imprest accounts, reconcile expenditures, balances, payments, statements and other data for day-to-day transactions and reports, manage the Country Office petty cash, monitor project and programme accounts for which responsibility is assigned, retrieve, enter, select and analyse data from a wide variety of sources, etc. Working knowledge (proficient - level C) English "
Food and Agriculture Organization of the,,"Rome, Italy",3. March 2023,14.02.2023,"Market and Policy Analysis) Advanced university degree in economics, agricultural economics or a related field Seven years of relevant experience in economic research and quantitative analysis, including experience in international agricultural commodity markets and trade, economic modelling and database management, work experience in more than one location or area of work, particularly in field positions, extent and relevance of experience in advanced economic research and analysis, including the use of statistical and econometrics methods and relevant software Working knowledge of English and limited knowledge of another FAO official language "
Food and Agriculture Organization of the,,"Riyadh, Saudi Arabia",3. March 2023,14.02.2023,"and Land Cover Specialist Advanced degree in GIS, Remote Sensing, Geospatial Systems, Natural Resources, Environment, Geography or a related field Minimum five years of experience in GIS, Remote sensing, land cover and land use survey and mapping including planning and implementing landcover and land use mapping activities and application of GIS and Remote Sensing tools and systems for natural resources management, relevance and extent of experience in working with multidisciplinary teams, government development systems, and inter-governmental bodies Working knowledge (level C) of English for Personal Service Agreement, knowing one of the FAOUN language is an asset, for COF, working knowledge (level C) of English and limited knowledge (level B) of another FAO language "
Food and Agriculture Organization of the,,"Rome, Italy",1. March 2023,14.02.2023,"Consultant University degree in agricultural sciences, agricultural economics, natural resources management, agribusiness management, climate change communication, urban and territorial planning or a closely related field Minimum of one year of relevant experience in working in the agriculture sector, especially in urban and peri-urban agriculture, urban and peri-urban forestry, urban food systems, urban natural resources management, including analytical studies, and/or in the formulation and implementation urban food system strategies or investment projects in developing countries and/or countries in transition Working knowledge (level C) of English, French or Spanish and limited knowledge (level B) of one of the other two or Arabic, Chinese, Russian "
United Nations Development Programme,Project Associate ,"Sarajevo, Bosnia and Herzegovina",22. February 2023,09.02.2023,"Minimum seven years (with Secondary education) or four years (with Bachelor’s degree) of relevant administrative project experience, UN experience and experience in United Nations inter-agency work is an asset, experience in the usage of computers and office software packages (MS Word, Excel, etc.) and advance knowledge of spreadsheet and database packages, experience in handling web-based management systems, Displays cultural, gender, religion, race, nationality and age sensitivity and adaptability, treats all people fairly without favoritism, understand the language associated with gender, equity inclusion, and diversity Fluency in English and Bosnian-Croatian-Serbian (BCS) is required "
United Nations Development Programme,Programme Development Coordinator ,"Ankara, Türkiye",15. February 2023,09.02.2023,"Advanced degree (master’s or higher) in a relevant field is required Minimum of seven years of relevant professional experience, at least three years of experience with UNDP in terms of crisis response and inter-agency coordination, prior experience working on the 3RP, the Syria crisis, or on resilience response to displacement, prior experience with UNDP or international organizations, proven track record of developing large project proposals for donors, experience in facilitating dialogue with key national/international partners, donors and IFIs, experience building partnerships/engaging with the private sector and local authorities, experience developing partnerships with civil society, familiarity with livelihoods, economic inclusion, social cohesion, and municipal service delivery projects, knowledge of humanitarian responses and actions, including humanitarian-development nexus, proven expertise in programme development, design and operationalization of strategies and plans Fluency in English is required, working knowledge of other UN languages is an asset "
United Nations Development Programme,Communications Associate ,"Belgrade, Serbia",23. February 2023,09.02.2023,"Minimum seven years (with Secondary education) or four years (with Bachelor’s degree) of relevant experience in communications, public relations and administration, experience in the usage of computers and office software packages (MS Word, Excel, etc.), experience in handling of web-based management systems, experience in social media management (Twitter, Facebook, Instagram, IMO, etc.), experience in organizing the social media campaigns or similar, basic knowledge in graphic design, basic knowledge of the Adobe software packages, including Adobe in Design, Adobe Premier, Adobe Illus­trator (CorelDraw), Adobe Photoshop, etc. will be an asset Fluency in English and Serbian is required "
United Nations Development Programme,Human Resources Associate ,"Chisinau, Moldova",20. February 2023,09.02.2023,"Secondary education with five years of experience in Human Resources area or bachelor’s degree in Human Resources, Business Administration, Psychology or related field with three years of relevant professional experience Three years of experience in HR/Admin or other relevant programmes (with Bachelor’s Degree) or five years (with Secondary Education) at the national and/or international level, experience working in the UN or other international development organization is an asset, proficient in Microsoft Office applications e.g. Word, Excel, PowerPoint, E-mail, Outlook; previous experience in SAP is a distinct advantage, well-organized and diligent person, accuracy and professionalism in document production and editing, ability to work and adapt professionally and effectively in a multicultural team of international and national personnel Fluency in English is required "
