employer,job_title,place,closing_date,publishing_date,job_description
UNICEF,Chief Social & Behavior Change ,"Mogadishu, Somalia",15. March 2023,09.03.2023,"A minimum of eight years of professional experience in one or more of the following areas is required: social development programme planning, Social & Behavior Change, public advocacy or another related area, relevant experience in a UN system agency or organization is considered as an asset, experience working in a developing country is considered as an asset, collaborate with internal CO, RO and/or HQ colleagues to provide expert advise on the development of evidence-based strategies, approaches, policies and the planning of S&BC social and resource mobilization initiatives in support of programmes/projects implementation and delivery of results Fluency in English is required, knowledge of another official UN language (Arabic, Chinese, French, Russian or Spanish) or a local language is an asset "
UNICEF,Senior Finance Associate ,"London, United Kingdom",24. March 2023,09.03.2023,"At least seven years of experience in finance, accounting, budgeting, commercial financing, financial reporting and financial models, advanced knowledge of Excel required (pivot tables, dashboards, financial modelling), knowledge of IPSAS and ERP/SAP highly desirable, user experience with PowerBI desirable, support managers with budget allocations, maintenance, and review of planning outline, as required, provide training to budget owners and focal points as assigned, in the operation and functionality of planning and financial management systems Fluency in English is required, with good writing skills, working knowledge of another UN language is an asset "
UNICEF,Human Resources Specialist ,"Panama City, Panama",10. March 2023,09.03.2023,"An advanced university degree (Master’s or higher) in Human Resources, Business Administration, International Relations, Social Sciences, Psychology or related areas A minimum of five years of relevant professional experience in Human Resources Management, developing country work experience and/or familiarity with emergency operations and staff security is considered an asset, builds and maintains partnerships, demonstrates self-awareness and ethical awareness, drive to achieve results for impact, innovates and embraces change, manages ambiguity and complexity, thinks and acts strategically, works collaboratively with others, support, implement and administer the effective and timely recruitment processes in the hiring, work to establish a targeted approach to recruit specialized talent, to fill posts requiring specialized expertise, at the global, regional or local level Fluency in English and Spanish is required "
UNICEF,Human Resources Associate ,"Riyadh, Saudi Arabia",13. March 2023,09.03.2023,"Completion of secondary education, preferably supplemented by technical or university courses related to the work of the organization A minimum of six years of progressively responsible administrative or clerical work experience required, support to business partnering: -support the business partners in developing initiatives to encourage employee well-being and employee recognition schemes, support the management of change processes by advising clientele on changes to HR processes under the guidance of HR Business Partner, support the business partners in assisting clientele in using HR systems such as talent, management, agora and achieve, support in processing of entitlement and benefits: in consultation with supervisor, analyze, research, verify, and compile data and information on cases that do not conform to UN or UNICEF’s HR Rules & Regulations, to consistent and equitable application of decisions and implementation of agreed, upon action Fluency in English is required, knowledge of another official UN language or a local language is an asset "
The World Bank,Agriculture Specialist (ETC) ,"Washington, United States",20. March 2023,09.03.2023,"Advanced University Degree in Agricultural Economics, Economics, Agricultural Engineering, Climate Science, Computer Science or related fields At least five years of professional hands-on experience relevant to the scope of the TOR, in-depth practical knowledge of the Israeli agri-tech innovation ecosystem based on the in-country experience, experience with and/or interest in agriculture for development and digital solutions for climate smart agriculture are strongly preferred Excellent oral and written communication skills in English with proven ability to translate highly technical issues into policy relevant language, fluency in Hebrew language is required "
The World Bank,Senior Energy Specialist-Clean Cooking ,"Washington, United States",24. March 2023,09.03.2023,"Demonstrated strong understanding of the clean cooking/energy access sector, excellent communication skills and demonstrated ability to lead high-level dialogue, demonstrated capacity to lead teams but also act as an effective team member, experience working with large global teams, to produce high-quality results and outputs with minimal supervision is required, high level of motivation, ability to work independently, and taking initiative, experience in managing the World Bank lending operations and knowledge products is preferred Fluency in English is required "
World Health Organization,Warehouse Managers ,"Poltava, Ukraine",17. March 2023,08.03.2023,"At least Three years‘ related experience and exposure, in managing emergency ICT operations and/or Logistics & Administration support in international organizations/institutions, part of which in the field supporting emergency humanitarian operations, demonstrated exposure at the international level, related experience with WHO, the UN system, health cluster partners, recognized humanitarian organizations or international nongovernmental organization work in the field of outbreaks and/or health emergency response Expert knowledge of English languages, expert knowledge of Ukrainian or Russian languages "
World Health Organization,Data Architecture Specialist ,"Geneva, Switzerland",26. March 2023,08.03.2023,"University degree in Computer Science, Software Engineering, Data Science or Business Administration with a major in Software Engineering or similar, formal education or training in Geographic Information Systems, Agile and/or PRINCE2 Project Management Certification At least two years of international professional experience in software architecture and development, and/or software Product Ownership, experience in WHO, the UN System and/or NGOs in the area of information systems development, experience with Emergency Management software, experience with design and development of Geographic Information Systems, excellent knowledge of software solutions architecture and trends in software development, perform any other related incident-specific duties as required Expert knowledge of English "
World Health Organization,"Director, Administration and Finance ","Manila, Philippines",26. March 2023,08.03.2023,"An advanced university degree (Masters level or above) in business administration, management, finance or related field, a Ph.D. or specialized post-graduate certification in business administration and/or management A minimum of 15 years of professional experience managing the administration and financial resources of programmes and/or departments in an organization, within this experience a minimum of seven years‘ experience must have been gained in an international context, professional work experience working in WHO, the UN and or International Organization including at the Regional/ Country level, experience in change management and organizational development, strong knowledge and skills in managing and coordinating large budgets and financial resources Expert knowledge of written and spoken English "
World Health Organization,Technical Officer (Health Service Management) ,"Copenhagen, Denmark",24. March 2023,08.03.2023,"University degree in health science such as, but not limited to, medicine, public health, health systems/service administration, public management or relevant field, additional university degree (Master’s level) in one of the above fields At least five years of relevant national and international experience in technical areas related to the provision and organization of health services, with a focus on integrated care and health service management, experience in supporting countries in designing and/or implementing health services reforms, relevant experience within WHO, the United Nations or other international organizations, demonstrated knowledge of political systems, social and health systems in the WHO European countries Expert knowledge of English "
