employer,job_title,place,closing_date,publishing_date,job_description
Food and Agriculture Organization of the,,"Rome, Italy",15. March 2023,03.03.2023,"Specialist University degree in economics, business administration, international development or other fields relevant to the work of the Organization At least one year of relevant experience in Programme planning and monitoring with similar responsibilities in financial and budget planning and reporting, work experience in more than one location or area of work, ability to communicate professionally and effectively with internal and external stakeholders Working knowledge (level C) of English and limited knowledge (level B) of another FAO official language (Arabic, Chinese, French, Russian or Spanish), for PSA, working knowledge (level C) of English is required "
Food and Agriculture Organization of the,,"Budapest, Hungary",14. March 2023,03.03.2023,"Specialist University degree OR technical/vocational training (certificate) in Information Technology, System Administration, or a related field Seven years of relevant experience in Information Technology, System Administration, or a related field, work experience in more than one location or area of work will be considered an asset, extent and relevance of experience in - Microsoft Cloud Applications (SharePoint, Azure Fundamentals and AD) - Network Fundamentals and Access, IP Connectivity and Services - Cloud Computing Basics - Videoconferencing and Virtual Events Management Working knowledge (level C) of English "
Food and Agriculture Organization of the,,"Rome, Italy",17. March 2023,03.03.2023,"Assistant Secondary School Education Three years of relevant experience in financial and/or administrative support work, good knowledge of the MS Office applications, Internet and office technology equipment, good knowledge of corporate information systems, good knowledge of common administrative and financial rules and regulations, good knowledge of communication and documentation standards, good knowledge of corporate financial rules on trust funds, good knowledge of the FAO project cycle, good experience with financial monitoring and reporting, ability to multitask and work in a team environment Working knowledge (proficient - level C) of English and limited knowledge (intermediate - level B) of another official FAO language "
Food and Agriculture Organization of the,,"Baku, Azerbaijan",15. March 2023,03.03.2023,"Specialist Post-graduate university degree in social or natural sciences (or other relevant disciplines), with a specialization in gender studies, National or Resident of Azerbaijan with work permit At least five years of practical working experience in gender mainstreaming, women’s empowerment, and sustainable development, preferably in an area pertinent to natural resource management, agriculture, and other connected fields, demonstrated experience carrying out participatory gender analysis, collecting and formulating gender-responsive indicators and sex-disaggregated data, and developing/implementing gender action plans, experience working with the UN agencies and/or GEF is desired Working knowledge of Azerbaijani and English is required "
Food and Agriculture Organization of the,,Home Based,30. April 2023,28.02.2023,"Specialist University (mandatory for Consultants) or specialized degree (only for PSA) in natural, social and economic sciences including any of the following fields: fisheries or natural resources management, fisheries or natural resources economics, fisheries technology, social development, marine/freshwater affairs, or in other field related to the work of the Organization At least one year of relevant experience in fisheries research, natural resource management, project development and implementation, data analysis or related fields Working knowledge of English, French or Spanish and limited knowledge of one of the other two or Arabic, Chinese, Russian "
Food and Agriculture Organization of the,,Home Based,7. March 2023,28.02.2023,"Developer Bachelor’s degree in Earth Observation, Geoinformation Management, Data Science, Geosciences, or related fields Technical understanding of the implications of climate change on agriculture is crucial, overall 10 years‘ of experience in building GeoSpatial tools and apps, implementation experience in Python and NumPy, experience in using GDAL and building user interfaces with ReactJS, quality of oral and written communication skills For Consultants working knowledge of English and limited knowledge of another FAO official language (Arabic, Chinese, French, Spanish or Russian), for PSAs only one language of working knowledge is requested "
Food and Agriculture Organization of the,,"Rome, Italy",30. April 2023,28.02.2023,"Interest Secondary School Education A minimum of one year of relevant experience in related positions, knowledge of the MS Office applications, internet and office technology equipment. o Proficiency in corporate electronic databases and systems would be an asset, knowledge of corporate computerized Financial/ Travel/Human resources systems, receive, screen and direct telephone calls and visitors, respond to routine internal and external enquiries and/or refer to appropriate contacts/units, enter, retrieve, structure and update selected information and data from easily accessible sources (e.g. Intra-/Internet, office files, source material, publications, surveys, reports etc.); present results in standard format Working knowledge (Level C) of English "
Food and Agriculture Organization of the,,"Abu Dhabi, United Arab Emirates",3. March 2023,28.02.2023,"(Senior Consultant) Master’s degree or Ph.D in economics, agricultural economics, natural resources economics, agribusiness management or a closely related field Ten years of relevant experience in agricultural economics and development policy analysis, or in the formulation and implementation of food security, agriculture, rural development, agribusiness investment operations, water and natural resource management, and related analytical studies, work experience in more than one location or area of work For Consultants working knowledge of English and limited knowledge of one of the other FAO languages (French, Spanish, Arabic, Chinese, Russian), preferably Arabic, for PSA, working knowledge of English would suffice "
Food and Agriculture Organization of the,,Home Based,30. April 2023,25.02.2023,"Specialist University (mandatory for Consultants) or specialized degree (only for PSA) in natural, social and economic sciences including any of the following fields: fisheries or natural resources management, fisheries or natural resources economics, fisheries technology, social development, marine/freshwater affairs, or in other field related to the work of the Organization At least one year of relevant experience in fisheries research, natural resource management, project development and implementation, data analysis or related fields Working knowledge of English, French or Spanish and limited knowledge of one of the other two or Arabic, Chinese, Russian "
Food and Agriculture Organization of the,,Home Based,7. March 2023,25.02.2023,"Developer Bachelor’s degree in Earth Observation, Geoinformation Management, Data Science, Geosciences, or related fields Technical understanding of the implications of climate change on agriculture is crucial, overall 10 years‘ of experience in building GeoSpatial tools and apps, implementation experience in Python and NumPy, experience in using GDAL and building user interfaces with ReactJS, quality of oral and written communication skills For Consultants working knowledge of English and limited knowledge of another FAO official language (Arabic, Chinese, French, Spanish or Russian), for PSAs only one language of working knowledge is requested "
