employer,job_title,place,closing_date,publishing_date,job_description
United Nations World Food Programme,Human Resources Associate ,"Vienna, Austria",7. March 2023,23.02.2023,"Completion of secondary school education, a post-secondary certificate in the related functional area Six or more years of progressively responsible support work experience in general administrative work, including at least three years in human resources or other related field, knowledge of specialised HR administrative work practices and methods, gained through relevant technical training and experience, good communication skills and good understanding of HR principles and their application in order to respond to and resolve a range of HR queries Fluency (level C) in English and Turkish (Level C) languages, fluency (level C) or intermediate knowledge (level B) of another official language may be required depending on the location of the post or area of responsibility "
United Nations World Food Programme,Individual Giving - Platform Product Specialist ,"Rome, Italy",8. March 2023,23.02.2023,"At least five years‘ experience in product or project management related disciplines, hands-on experience managing and optimizing digital marketing campaigns across multiple acquisition channels and geographies, experience in change management initiatives, matrix management and performance improvement initiatives, strong track record of delivering results in a complex environment, international environments and management of payment platforms would be an advantage, demonstrable experience with digital marketing, online sales or fundraising, fundraising technical solutions, CRM technology, in particular Salesforce, Marketing Cloud, management of remote virtual teams in high growth environments Working level of English is essential "
United Nations World Food Programme,Junior Developer ,"Rome, Italy",8. March 2023,22.02.2023,"Professional experience of development role through internships or similar, working in an international setting working with multiple teams stakeholders, understanding of working with Salesforce, Stripe, donation platforms, Browserstack, Asana, Sharepoint and other Microsoft applications, performing site content, data checks and updates. Reporting and escalation of potential issues which could impact report accuracy or performance, experience of the following would be an advantage, Advanced Web Development and Web Design: (HTML/CSS) and Data Structures & AlgorithmsBasic Programming (Java/ JavaScript/PHP/MySQL/C)Advanced Programming on AngularJS, Spring Boot/ Spring Data, MongoDB Working level of English is essential "
United Nations World Food Programme,Technical Project Manager ,"Rome, Italy",8. March 2023,22.02.2023,"University degree or relevant educational certificate in Computer Science, IT Engineering, Professional Software Engineer, Business Administration or STEM discipline, a project management certification such as PRINCE II, agile or other would be advantageous Minimum five years of professional experience of management of software projects in the technology sector, with a track record of implementing complex projects, preference will be given to candidates with experience of working internationally and also those who have previous experience in software development and systems administration disciplines, extensive experience managing complex small, medium and larger software projects using a range of project management methodologies Working level of English is essential "
United Nations World Food Programme,Aviation Security Officer ,"Rome, Italy",20. March 2023,22.02.2023,"Advanced University Degree (Master’s degree or equivalent) in Aviation Security Management, and ICAO AVSEC PM diploma, and Health and Safety Management diploma or higher (e.g., Nebosh, ASSP, or another accredited organisation with an applicable standard), or Aviation or Operational Risk Management diploma or higher (e.g. IATA, ASIS or another accredited organisation with an applicable standard) Or Lead Auditor in Quality Management Systems (ISO9001+ Standard or equivalent) Minimum of eight years of professional Aviation Security management and/or experience in humanitarian aviation with a Humanitarian organization, with at least four (4) years in Aviation Security management Fluency (level C) in the English language, intermediate knowledge (level B) of a second official UN language: Arabic, Chinese, French, Russian, Spanish, and/or Portuguese "
United Nations World Food Programme,Business Support Assistant (Innovation Unit) ,"Juba, South Sudan",20. March 2023,22.02.2023,"Five or more years of progressively responsible work experience in the relative business stream with experience in general administrative work, knowledge of specialised common business practices and methods, gained through relevant technical training and experience, ability to develop and maintain relationships with a range of individuals in order to provide a high quality support service, ability to carry out basic data analysis and independently rectify problems requiring attention, ability to monitor and record financial transactions, good communication skills required to give and receive information and work with a variety of individuals General Service (Headquarters): Fluency (level C) in English language "
United Nations World Food Programme,Shipping Officer ,"Rome, Italy",14. March 2023,22.02.2023,"Advanced University degree in Transport Economics, Supply Chain, Shipping, Logistics or other relevant field, or First University degree with relevant logistics qualifications or additional logistics experience in port, freight forwarding and shipping operations At least Three years of experience in commercial or government transportation sectors, preferably as ocean import/export coordinator in the forwarding industry, experience in monitoring and reporting on ocean freight market and trends, experience in ocean freight pricing/procurement, tender/RFQ, knowledge in Power BI and Big Data, advanced Excel skills Fluency (level C) in the English language, intermediate knowledge (level B) of a second official UN language: Arabic, Chinese, French, Russian, Spanish, and/or Portuguese (A WFP’s working language) will be an asset "
United Nations World Food Programme,Communications Officer ,"Beijing, China",30. January 2023,21.01.2023,"Minimum five years of relevant professional experience (especially in running digital campaigns and social media management), proven experience dealing with visibility-related communications work, experience in planning, gathering, and producing tailored multimedia content, experience in working with external agencies to produce visibility content, excellent written & verbal communication in English, content creation skills (video, audio, graphic design), guide and supervise junior staff, provide support with more complex analysis and queries Fluency in both oral and written communication in English and Chinese "
United Nations World Food Programme,Business Transformation Officer ,"Cox’s Bazaar, Bangladesh",25. January 2023,21.01.2023,"Master’s degree in Business Management, Development Studies, Economics, Computer Science, Information Technologies or other relevant fields, or a bachelor’s degree in the above field(s) with additional years of related work experience Overall eight years of progressive professional experience in the field of international relief, recovery, or development, project management skills and experience required, at least three years of experience in working with digital platforms in the areas of Beneficiary Information Management, Entitlement Transfer and Digital Partnerships. WFP Cash-Based Transfers (CBT) is experience highly desirable Fluency (level C) in English language, both written and oral, and excellent presentation skills, intermediate knowledge (level B) of a second official UN language is an asset "
United Nations World Food Programme,Output Monitoring Technical Officer ,"Rome, Italy",28. January 2023,21.01.2023,"Advanced University degree in one of the following fields: social sciences, statistics, development economics, performance management, monitoring and evaluation or other related fields, or First University degree with additional years of relevant work experience and/or training/courses Minimum of five years of relevant professional work experience including in international development or humanitarian work, minimum of three years of experience in monitoring and/or evaluation, including strong experience using a variety of quantitative analytical tools and methods including at the country level, knowledge of results-based management principles and practices as well as corporate accountability frameworks, preferable in the United Nations Fluency in English is required "
