employer,job_title,place,closing_date,publishing_date,job_description
World Health Organization,Epidemiologist ,"Geneva, Switzerland",21. March 2023,03.03.2023,"At least seven years‘ experience with successful track record in epidemiology, surveillance and/or the control of acute public health events, in which at least four years have been related to public health intelligence activities at the national and/or international levels, demonstrated experience in the context of large epidemics or public health crises at the national and/or international levels Fluency in English is required "
World Health Organization,Cybersecurity Operations and Analytics Engineer ,"Budapest, Hungary",22. March 2023,03.03.2023,"A minimum of five years IT experience which at least two years at the international level and five years focused on IT security, extensive experience in working across multiple time zones without the need for face-to-face meetings, experience in ICT audit, compliance or governance, experience working in an environment where work hours are scheduled shifts corresponding to forecasted activity, experience working outside of core business hours, including early morning, late evening, overnight, weekends, and/or holidays as needed, experience in application behaviour-based security approach Expert knowledge of English "
World Health Organization,Monitoring and Evaluation Officer ,"Baku, Azerbaijan",15. March 2023,03.03.2023,"Bachelor’s degree in social sciences and a master’s degree in public health or a related focus area from an accredited/recognized institution, Master’s level in public health, epidemiology or a related focus area At least five years‘ of relevant experience at the national or international level, in implementation of public health monitoring and evaluation, health informatics, or health policy and surveillance, specific experience on M&E, strong analytical skills and ability to review and synthesize information from multiple sources, demonstrated writing and editing skills, with an ability to communicate effectively, strong interpersonal skills, able to work across cultures and with the capacity to build strong working relationships, knowledge of relevant software applications Fluency in English is required "
World Health Organization,Innovation and Research (INR) Consultant ,"Manila, Philippines",15. March 2023,03.03.2023,"The applicant should have a post-graduate degree in public health or other relevant field from a recognized university Experience and technical skills required: at least five years of research experience in public health or relevant social science fields, and extensive experience in preparing, implementing and documenting qualitative research, in line with best practices and paradigms of qualitative research, proven track record for professional delivery of high-quality products, relevant work experience with WHO and/or UN agencies, governmental agencies and/or non-governmental organizations, expertise in facilitating the organization of international consultations and meetings, excellent writing skills in English, including for technical and general audiences Fluency in English is required "
World Health Organization,Technical Officer (VPD Outbreaks and Response) ,"Geneva, Switzerland",21. March 2023,03.03.2023,"Advanced level university degree (master’s level degree or above) in Medicine, Epidemiology, Public Health, Global/International Health, Paediatric Health, Socio-medical Sciences, or other fields relevant to immunization, specialized training in global/international public health, health emergencies, project management, vaccinology, or related field At least seven years of relevant professional work experience in the health sector with clearly demonstrated experience in working with ministries of health in planning, implementing or monitoring immunization or emergency health programmes in low-resource environments, demonstrated experience of working with the United Nations system, including WHO country, regional and global offices and UNICEF program or supply division Fluency in English is required "
World Health Organization,Programme Assistant ,"Budapest, Hungary",15. March 2023,25.02.2023,"At least five years of progressively responsible experience in the secretarial/administrative field, experience in an international environment or institution, relevant experience in WHO or in the UN, proficiency in the use of standard office computer software, note taking and operation of computerized systems and databases, sound interpersonal skills and flexibility, ability to adapt to competing priorities, ability to work in a fast-paced environment, emotional intelligence, ability to identify and manage one’s own emotions, as well as helping others to do the same Expert knowledge of English, expert knowledge of Local language, intermediate knowledge of French, Russian, or German "
World Health Organization,Cybersecurity Operations and Analytics Engineer ,"Budapest, Hungary",16. March 2023,25.02.2023,"A minimum of five years IT experience which at least two years at the international level and five years focused on IT security, extensive experience in working across multiple time zones without the need for face-to-face meetings, experience in ICT audit, compliance or governance, experience working in an environment where work hours are scheduled shifts corresponding to forecasted activity, experience working outside of core business hours, including early morning, late evening, overnight, weekends, and/or holidays as needed Expert knowledge of English "
World Health Organization,"Technical Officer, Data Products and Analytics ","Washington, United States",14. March 2023,25.02.2023,"A bachelor’s degree in a health or social science or in any other field related to the functions of the position from a recognized university Seven years of combined national and international experience in epidemiology, surveillance and/or control of acute public health events, experience in epidemiology, surveillance and/or control of acute public health events in countries with limited resources, experience working with event-based surveillance, experience in inter-agency collaboration would be an asset, practical knowledge of results-based management concepts and tools and their applications, expertise in the use of GIS, R, Phyton and/or programming, ability to respond objectively and promptly to unforeseen problems, and exercise sound judgment in recommending feasible technical solutions, strong professional oral and writing skills, including the development of reports, oral presentations, and technical/persuasive documents for consideration at the highest levels of the Organization Expert knowledge of English "
United Nations World Food Programme,Aviation Security Officer ,"Rome, Italy",20. March 2023,22.02.2023,"Advanced University Degree (Master’s degree or equivalent) in Aviation Security Management, and ICAO AVSEC PM diploma, and Health and Safety Management diploma or higher (e.g., Nebosh, ASSP, or another accredited organisation with an applicable standard), or Aviation or Operational Risk Management diploma or higher (e.g. IATA, ASIS or another accredited organisation with an applicable standard) Or Lead Auditor in Quality Management Systems (ISO9001+ Standard or equivalent) Minimum of eight years of professional Aviation Security management and/or experience in humanitarian aviation with a Humanitarian organization, with at least four (4) years in Aviation Security management Fluency (level C) in the English language, intermediate knowledge (level B) of a second official UN language: Arabic, Chinese, French, Russian, Spanish, and/or Portuguese "
World Health Organization,Scientist ,"Lyons, France",25. February 2023,15.02.2023,"At least two years of professional post-doctoral experience in cancer research, in particular cancer epidemiology on cancer-causing agents or cancer-preventive agents, experience in assisting in evaluations of cancer hazards, cancer-prevention strategies or related normative work, experience reviewing studies across a spectrum of primary and secondary cancer-preventive interventions, experience in assisting to prepare international scientific meetings, scientific publication record in the field of cancer prevention commensurate with the grade of the position Expert knowledge of English is required, intermediate knowledge of French or another UN language is desirable "
